"type","string","response","subj","exposures","coherence","trial"
"position","hamster tezz dog",1,"s0001",126,"nonce.connective",1
"withheld","bus tezz moke",3,"s0001",126,"nonce.connective",2
"withheld","dog tezz pif",4,"s0001",126,"nonce.connective",3
"familiar","car tezz dex",5,"s0001",126,"nonce.connective",4
"familiar","dog tezz wug",1,"s0001",126,"nonce.connective",5
"position","dex tezz moke",1,"s0001",126,"nonce.connective",6
"cross","truck tezz jeev",2,"s0001",126,"nonce.connective",7
"cross","dog tezz moke",4,"s0001",126,"nonce.connective",8
"familiar","hamster tezz thite",5,"s0001",126,"nonce.connective",9
"catch","press4",4,"s0001",126,"nonce.connective",10
"cross","bus tezz pif",2,"s0001",126,"nonce.connective",11
"cross","cat tezz wug",1,"s0001",126,"nonce.connective",12
"position","car tezz bus",1,"s0001",126,"nonce.connective",13
"withheld","cat tezz jeev",4,"s0001",126,"nonce.connective",14
"withheld","truck tezz wug",5,"s0001",126,"nonce.connective",15
"catch","press5",5,"s0001",126,"nonce.connective",16
"position","thite tezz pif",1,"s0001",126,"nonce.connective",17
"familiar","cat tezz moke",5,"s0001",126,"nonce.connective",18
"position","pawmo and marfo",4,"s0002",126,"rime",1
"familiar","calo and thite",3,"s0002",126,"rime",2
"cross","zaygee and jeev",4,"s0002",126,"rime",3
"position","dex and wug",4,"s0002",126,"rime",4
"withheld","tetchee and thite",3,"s0002",126,"rime",5
"withheld","marfo and wug",2,"s0002",126,"rime",6
"withheld","calo and jeev",4,"s0002",126,"rime",7
"withheld","zaygee and pif",4,"s0002",126,"rime",8
"familiar","kaisee and moke",2,"s0002",126,"rime",9
"cross","tetchee and wug",2,"s0002",126,"rime",10
"cross","calo and pif",5,"s0002",126,"rime",11
"familiar","marfo and pif",3,"s0002",126,"rime",12
"position","moke and thite",4,"s0002",126,"rime",13
"position","kaisee and tetchee",3,"s0002",126,"rime",14
"familiar","pawmo and dex",2,"s0002",126,"rime",15
"catch","press5",5,"s0002",126,"rime",16
"catch","press4",4,"s0002",126,"rime",17
"cross","marfo and thite",5,"s0002",126,"rime",18
"familiar","zayb and jeev",5,"s0003",196,"0/3",1
"familiar","loach and dex",4,"s0003",196,"0/3",2
"cross","feeb and thite",4,"s0003",196,"0/3",3
"familiar","chuhv and wug",1,"s0003",196,"0/3",4
"withheld","feeb and jeev",3,"s0003",196,"0/3",5
"familiar","vaap and pif",4,"s0003",196,"0/3",6
"catch","press4",4,"s0003",196,"0/3",7
"withheld","bem and wug",1,"s0003",196,"0/3",8
"position","vaap and chuhv",2,"s0003",196,"0/3",9
"catch","press5",5,"s0003",196,"0/3",10
"cross","zayb and wug",3,"s0003",196,"0/3",11
"position","pif and thite",5,"s0003",196,"0/3",12
"cross","bem and moke",1,"s0003",196,"0/3",13
"position","dex and jeev",5,"s0003",196,"0/3",14
"withheld","zayb and moke",4,"s0003",196,"0/3",15
"withheld","chuhv and thite",3,"s0003",196,"0/3",16
"position","loach and feeb",4,"s0003",196,"0/3",17
"cross","chuhv and jeev",4,"s0003",196,"0/3",18
"position","wug and pif",1,"s0004",392,"rime",1
"cross","tetchee and thite",5,"s0004",392,"rime",2
"withheld","kaisee and jeev",5,"s0004",392,"rime",3
"cross","marfo and pif",5,"s0004",392,"rime",4
"position","dex and thite",1,"s0004",392,"rime",5
"position","zaygee and tetchee",1,"s0004",392,"rime",6
"familiar","pawmo and pif",4,"s0004",392,"rime",7
"familiar","marfo and jeev",5,"s0004",392,"rime",8
"withheld","tetchee and pif",4,"s0004",392,"rime",9
"catch","press5",5,"s0004",392,"rime",10
"withheld","pawmo and moke",4,"s0004",392,"rime",11
"familiar","calo and dex",5,"s0004",392,"rime",12
"catch","press4",4,"s0004",392,"rime",13
"withheld","marfo and thite",4,"s0004",392,"rime",14
"cross","kaisee and moke",5,"s0004",392,"rime",15
"familiar","zaygee and wug",5,"s0004",392,"rime",16
"cross","pawmo and jeev",5,"s0004",392,"rime",17
"position","calo and marfo",1,"s0004",392,"rime",18
"cross","car tezz jeev",4,"s0005",56,"nonce.connective",1
"position","wug tezz thite",3,"s0005",56,"nonce.connective",2
"cross","dog tezz moke",5,"s0005",56,"nonce.connective",3
"cross","cat tezz thite",3,"s0005",56,"nonce.connective",4
"familiar","hamster tezz pif",3,"s0005",56,"nonce.connective",5
"withheld","car tezz thite",1,"s0005",56,"nonce.connective",6
"cross","bus tezz dex",3,"s0005",56,"nonce.connective",7
"familiar","dog tezz thite",5,"s0005",56,"nonce.connective",8
"withheld","cat tezz jeev",5,"s0005",56,"nonce.connective",9
"catch","press5",5,"s0005",56,"nonce.connective",10
"position","truck tezz car",1,"s0005",56,"nonce.connective",11
"position","hamster tezz cat",1,"s0005",56,"nonce.connective",12
"catch","press4",4,"s0005",56,"nonce.connective",13
"withheld","bus tezz moke",3,"s0005",56,"nonce.connective",14
"withheld","dog tezz dex",3,"s0005",56,"nonce.connective",15
"position","pif tezz jeev",3,"s0005",56,"nonce.connective",16
"familiar","truck tezz wug",1,"s0005",56,"nonce.connective",17
"familiar","cat tezz moke",3,"s0005",56,"nonce.connective",18
"familiar","marfo and jeev",4,"s0006",56,"rime",1
"familiar","pawmo and dex",3,"s0006",56,"rime",2
"familiar","calo and wug",3,"s0006",56,"rime",3
"cross","pawmo and jeev",4,"s0006",56,"rime",4
"cross","marfo and dex",3,"s0006",56,"rime",5
"position","kaisee and tetchee",2,"s0006",56,"rime",6
"cross","zaygee and pif",3,"s0006",56,"rime",7
"withheld","zaygee and dex",4,"s0006",56,"rime",8
"withheld","pawmo and moke",4,"s0006",56,"rime",9
"catch","press5",5,"s0006",56,"rime",10
"position","wug and moke",4,"s0006",56,"rime",11
"position","thite and jeev",4,"s0006",56,"rime",12
"cross","tetchee and moke",4,"s0006",56,"rime",13
"familiar","kaisee and thite",4,"s0006",56,"rime",14
"catch","press4",4,"s0006",56,"rime",15
"withheld","tetchee and jeev",3,"s0006",56,"rime",16
"position","calo and pawmo",3,"s0006",56,"rime",17
"withheld","marfo and pif",3,"s0006",56,"rime",18
"withheld","car tezz thite",5,"s0007",392,"nonce.connective",1
"withheld","cat tezz dex",3,"s0007",392,"nonce.connective",2
"withheld","bus tezz jeev",3,"s0007",392,"nonce.connective",3
"familiar","dog tezz thite",3,"s0007",392,"nonce.connective",4
"cross","car tezz dex",3,"s0007",392,"nonce.connective",5
"cross","cat tezz thite",3,"s0007",392,"nonce.connective",6
"catch","press5",5,"s0007",392,"nonce.connective",7
"familiar","hamster tezz wug",3,"s0007",392,"nonce.connective",8
"cross","dog tezz jeev",3,"s0007",392,"nonce.connective",9
"catch","press4",4,"s0007",392,"nonce.connective",10
"cross","bus tezz moke",3,"s0007",392,"nonce.connective",11
"familiar","truck tezz pif",3,"s0007",392,"nonce.connective",12
"position","hamster tezz cat",1,"s0007",392,"nonce.connective",13
"familiar","cat tezz jeev",3,"s0007",392,"nonce.connective",14
"withheld","dog tezz moke",5,"s0007",392,"nonce.connective",15
"position","pif tezz thite",4,"s0007",392,"nonce.connective",16
"position","wug tezz dex",3,"s0007",392,"nonce.connective",17
"position","truck tezz car",3,"s0007",392,"nonce.connective",18
"cross","bim and dex",4,"s0008",196,"2/3",1
"position","chuv and truck",1,"s0008",196,"2/3",2
"familiar","cat and dex",5,"s0008",196,"2/3",3
"withheld","car and wug",5,"s0008",196,"2/3",4
"position","pif and dex",3,"s0008",196,"2/3",5
"cross","car and thite",1,"s0008",196,"2/3",6
"familiar","bim and wug",5,"s0008",196,"2/3",7
"withheld","cat and thite",3,"s0008",196,"2/3",8
"cross","truck and moke",5,"s0008",196,"2/3",9
"catch","press4",4,"s0008",196,"2/3",10
"catch","press5",5,"s0008",196,"2/3",11
"familiar","hamster and jiv",5,"s0008",196,"2/3",12
"cross","cat and wug",3,"s0008",196,"2/3",13
"position","hamster and bim",1,"s0008",196,"2/3",14
"familiar","chuv and pif",3,"s0008",196,"2/3",15
"withheld","bim and moke",3,"s0008",196,"2/3",16
"withheld","truck and dex",3,"s0008",196,"2/3",17
"position","jiv and moke",1,"s0008",196,"2/3",18
"cross","calo and dex",5,"s0009",196,"rime",1
"position","tetchee and kaisee",5,"s0009",196,"rime",2
"position","marfo and calo",5,"s0009",196,"rime",3
"position","moke and dex",2,"s0009",196,"rime",4
"withheld","calo and wug",5,"s0009",196,"rime",5
"withheld","pawmo and thite",5,"s0009",196,"rime",6
"familiar","calo and pif",5,"s0009",196,"rime",7
"cross","kaisee and wug",5,"s0009",196,"rime",8
"cross","pawmo and pif",3,"s0009",196,"rime",9
"familiar","tetchee and moke",5,"s0009",196,"rime",10
"withheld","zaygee and pif",5,"s0009",196,"rime",11
"withheld","kaisee and dex",4,"s0009",196,"rime",12
"cross","zaygee and thite",4,"s0009",196,"rime",13
"position","jeev and wug",1,"s0009",196,"rime",14
"catch","press5",5,"s0009",196,"rime",15
"familiar","pawmo and dex",4,"s0009",196,"rime",16
"catch","press4",4,"s0009",196,"rime",17
"familiar","marfo and jeev",4,"s0009",196,"rime",18
"withheld","zabe and pif",5,"s0010",196,"0/3",1
"withheld","lup and wug",5,"s0010",196,"0/3",2
"position","dex and pif",5,"s0010",196,"0/3",3
"familiar","feeb and thite",5,"s0010",196,"0/3",4
"familiar","bim and pif",5,"s0010",196,"0/3",5
"familiar","lup and jiv",4,"s0010",196,"0/3",6
"cross","vap and moke",3,"s0010",196,"0/3",7
"position","feeb and lup",3,"s0010",196,"0/3",8
"withheld","bim and moke",4,"s0010",196,"0/3",9
"cross","lup and pif",3,"s0010",196,"0/3",10
"position","chuv and zabe",4,"s0010",196,"0/3",11
"position","thite and wug",5,"s0010",196,"0/3",12
"familiar","chuv and dex",5,"s0010",196,"0/3",13
"withheld","vap and jiv",3,"s0010",196,"0/3",14
"cross","bim and jiv",3,"s0010",196,"0/3",15
"catch","press4",4,"s0010",196,"0/3",16
"cross","zabe and wug",4,"s0010",196,"0/3",17
"catch","press5",5,"s0010",196,"0/3",18
"position","car and vap",4,"s0011",196,"2/3",1
"familiar","cat and moke",4,"s0011",196,"2/3",2
"withheld","vap and wug",2,"s0011",196,"2/3",3
"withheld","lup and jiv",3,"s0011",196,"2/3",4
"cross","truck and dex",4,"s0011",196,"2/3",5
"cross","vap and jiv",3,"s0011",196,"2/3",6
"cross","dog and thite",2,"s0011",196,"2/3",7
"position","cat and lup",2,"s0011",196,"2/3",8
"position","moke and jiv",4,"s0011",196,"2/3",9
"catch","press4",4,"s0011",196,"2/3",10
"familiar","car and pif",4,"s0011",196,"2/3",11
"catch","press5",5,"s0011",196,"2/3",12
"cross","lup and wug",2,"s0011",196,"2/3",13
"withheld","truck and thite",2,"s0011",196,"2/3",14
"familiar","dog and wug",3,"s0011",196,"2/3",15
"familiar","lup and thite",4,"s0011",196,"2/3",16
"withheld","dog and dex",2,"s0011",196,"2/3",17
"position","pif and wug",4,"s0011",196,"2/3",18
"familiar","glove and pif",5,"s0012",196,"semantic.baseline",1
"cross","ball and dex",2,"s0012",196,"semantic.baseline",2
"withheld","card and pif",4,"s0012",196,"semantic.baseline",3
"familiar","rain and wug",5,"s0012",196,"semantic.baseline",4
"cross","shelf and pif",4,"s0012",196,"semantic.baseline",5
"familiar","leash and thite",5,"s0012",196,"semantic.baseline",6
"position","wug and jiv",5,"s0012",196,"semantic.baseline",7
"withheld","ball and moke",5,"s0012",196,"semantic.baseline",8
"withheld","glove and dex",5,"s0012",196,"semantic.baseline",9
"withheld","shelf and jiv",5,"s0012",196,"semantic.baseline",10
"cross","glove and moke",5,"s0012",196,"semantic.baseline",11
"catch","press5",5,"s0012",196,"semantic.baseline",12
"position","thite and pif",2,"s0012",196,"semantic.baseline",13
"position","leash and card",4,"s0012",196,"semantic.baseline",14
"catch","press4",4,"s0012",196,"semantic.baseline",15
"position","rain and shelf",2,"s0012",196,"semantic.baseline",16
"cross","card and jiv",5,"s0012",196,"semantic.baseline",17
"familiar","shelf and moke",5,"s0012",196,"semantic.baseline",18
"withheld","pawmo and thite",5,"s0013",126,"rime",1
"catch","press4",4,"s0013",126,"rime",2
"familiar","pawmo and dex",4,"s0013",126,"rime",3
"withheld","zaygee and pif",5,"s0013",126,"rime",4
"withheld","marfo and jeev",5,"s0013",126,"rime",5
"cross","zaygee and thite",4,"s0013",126,"rime",6
"position","moke and pif",5,"s0013",126,"rime",7
"position","calo and pawmo",2,"s0013",126,"rime",8
"cross","marfo and dex",4,"s0013",126,"rime",9
"familiar","tetchee and moke",5,"s0013",126,"rime",10
"familiar","marfo and pif",5,"s0013",126,"rime",11
"cross","kaisee and jeev",4,"s0013",126,"rime",12
"position","wug and thite",3,"s0013",126,"rime",13
"withheld","kaisee and dex",5,"s0013",126,"rime",14
"position","tetchee and zaygee",3,"s0013",126,"rime",15
"cross","pawmo and pif",4,"s0013",126,"rime",16
"catch","press5",5,"s0013",126,"rime",17
"familiar","calo and wug",2,"s0013",126,"rime",18
"cross","hamster and pif",1,"s0014",56,"3/3",1
"cross","truck and thite",1,"s0014",56,"3/3",2
"familiar","hamster and moke",4,"s0014",56,"3/3",3
"cross","car and wug",1,"s0014",56,"3/3",4
"position","cat and hamster",1,"s0014",56,"3/3",5
"familiar","bus and dex",5,"s0014",56,"3/3",6
"withheld","car and pif",1,"s0014",56,"3/3",7
"cross","dog and moke",1,"s0014",56,"3/3",8
"familiar","cat and jiv",1,"s0014",56,"3/3",9
"withheld","hamster and wug",4,"s0014",56,"3/3",10
"familiar","dog and pif",3,"s0014",56,"3/3",11
"catch","press5",5,"s0014",56,"3/3",12
"withheld","truck and moke",5,"s0014",56,"3/3",13
"catch","press4",4,"s0014",56,"3/3",14
"position","bus and car",1,"s0014",56,"3/3",15
"position","jiv and wug",1,"s0014",56,"3/3",16
"position","dex and pif",1,"s0014",56,"3/3",17
"withheld","dog and thite",1,"s0014",56,"3/3",18
"cross","lup and wug",2,"s0015",196,"0/3",1
"cross","bim and dex",5,"s0015",196,"0/3",2
"catch","press4",4,"s0015",196,"0/3",3
"familiar","lup and dex",5,"s0015",196,"0/3",4
"familiar","bim and wug",4,"s0015",196,"0/3",5
"catch","press5",5,"s0015",196,"0/3",6
"withheld","zabe and dex",5,"s0015",196,"0/3",7
"familiar","chuv and pif",5,"s0015",196,"0/3",8
"withheld","vap and wug",4,"s0015",196,"0/3",9
"withheld","bim and jiv",4,"s0015",196,"0/3",10
"familiar","feeb and moke",2,"s0015",196,"0/3",11
"cross","vap and thite",4,"s0015",196,"0/3",12
"cross","zabe and jiv",5,"s0015",196,"0/3",13
"position","pif and wug",5,"s0015",196,"0/3",14
"position","moke and thite",5,"s0015",196,"0/3",15
"withheld","lup and thite",4,"s0015",196,"0/3",16
"position","chuv and vap",5,"s0015",196,"0/3",17
"position","feeb and lup",5,"s0015",196,"0/3",18
"withheld","cat tezz jeev",1,"s0016",126,"nonce.connective",1
"cross","hamster tezz wug",1,"s0016",126,"nonce.connective",2
"catch","press5",5,"s0016",126,"nonce.connective",3
"familiar","cat tezz wug",1,"s0016",126,"nonce.connective",4
"familiar","dog tezz moke",1,"s0016",126,"nonce.connective",5
"withheld","bus tezz thite",1,"s0016",126,"nonce.connective",6
"withheld","car tezz wug",1,"s0016",126,"nonce.connective",7
"position","dog tezz cat",1,"s0016",126,"nonce.connective",8
"cross","car tezz dex",1,"s0016",126,"nonce.connective",9
"position","pif tezz thite",1,"s0016",126,"nonce.connective",10
"cross","bus tezz jeev",1,"s0016",126,"nonce.connective",11
"catch","press4",4,"s0016",126,"nonce.connective",12
"familiar","hamster tezz thite",1,"s0016",126,"nonce.connective",13
"position","truck tezz bus",1,"s0016",126,"nonce.connective",14
"cross","cat tezz thite",2,"s0016",126,"nonce.connective",15
"position","moke tezz jeev",1,"s0016",126,"nonce.connective",16
"withheld","hamster tezz dex",1,"s0016",126,"nonce.connective",17
"familiar","truck tezz pif",2,"s0016",126,"nonce.connective",18
"familiar","cat and thite",5,"s0017",196,"2/3",1
"position","zabe and car",5,"s0017",196,"2/3",2
"cross","cat and moke",5,"s0017",196,"2/3",3
"cross","dog and thite",5,"s0017",196,"2/3",4
"withheld","cat and wug",3,"s0017",196,"2/3",5
"catch","press5",5,"s0017",196,"2/3",6
"familiar","lup and dex",5,"s0017",196,"2/3",7
"cross","car and wug",4,"s0017",196,"2/3",8
"withheld","dog and pif",5,"s0017",196,"2/3",9
"withheld","truck and thite",2,"s0017",196,"2/3",10
"position","dex and wug",5,"s0017",196,"2/3",11
"position","jiv and moke",5,"s0017",196,"2/3",12
"catch","press4",4,"s0017",196,"2/3",13
"familiar","zabe and jiv",5,"s0017",196,"2/3",14
"position","lup and cat",5,"s0017",196,"2/3",15
"withheld","car and moke",4,"s0017",196,"2/3",16
"cross","truck and pif",4,"s0017",196,"2/3",17
"familiar","dog and moke",2,"s0017",196,"2/3",18
"withheld","chuv and pif",5,"s0018",56,"1/3",1
"withheld","vap and jiv",1,"s0018",56,"1/3",2
"withheld","bim and wug",3,"s0018",56,"1/3",3
"familiar","hamster and jiv",2,"s0018",56,"1/3",4
"cross","vap and wug",4,"s0018",56,"1/3",5
"cross","bim and jiv",4,"s0018",56,"1/3",6
"position","dex and pif",4,"s0018",56,"1/3",7
"cross","chuv and moke",4,"s0018",56,"1/3",8
"position","feeb and hamster",1,"s0018",56,"1/3",9
"catch","press5",5,"s0018",56,"1/3",10
"cross","hamster and pif",3,"s0018",56,"1/3",11
"familiar","feeb and thite",3,"s0018",56,"1/3",12
"familiar","bus and dex",4,"s0018",56,"1/3",13
"position","thite and moke",4,"s0018",56,"1/3",14
"familiar","bim and pif",3,"s0018",56,"1/3",15
"catch","press4",4,"s0018",56,"1/3",16
"withheld","hamster and moke",3,"s0018",56,"1/3",17
"position","bus and chuv",2,"s0018",56,"1/3",18
"position","pif tezz dex",1,"s0019",56,"nonce.connective",1
"cross","car tezz thite",4,"s0019",56,"nonce.connective",2
"cross","dog tezz dex",3,"s0019",56,"nonce.connective",3
"familiar","truck tezz pif",4,"s0019",56,"nonce.connective",4
"withheld","dog tezz thite",5,"s0019",56,"nonce.connective",5
"withheld","bus tezz moke",5,"s0019",56,"nonce.connective",6
"position","truck tezz car",1,"s0019",56,"nonce.connective",7
"position","hamster tezz dog",1,"s0019",56,"nonce.connective",8
"cross","cat tezz moke",5,"s0019",56,"nonce.connective",9
"catch","press4",4,"s0019",56,"nonce.connective",10
"withheld","cat tezz wug",5,"s0019",56,"nonce.connective",11
"catch","press5",5,"s0019",56,"nonce.connective",12
"familiar","hamster tezz jeev",5,"s0019",56,"nonce.connective",13
"familiar","dog tezz moke",5,"s0019",56,"nonce.connective",14
"cross","bus tezz wug",5,"s0019",56,"nonce.connective",15
"familiar","cat tezz dex",3,"s0019",56,"nonce.connective",16
"position","jeev tezz thite",1,"s0019",56,"nonce.connective",17
"withheld","car tezz dex",4,"s0019",56,"nonce.connective",18
"position","kaisee and tetchee",1,"s0020",392,"rime",1
"withheld","calo and jeev",1,"s0020",392,"rime",2
"cross","tetchee and dex",1,"s0020",392,"rime",3
"position","marfo and pawmo",1,"s0020",392,"rime",4
"familiar","kaisee and moke",4,"s0020",392,"rime",5
"familiar","pawmo and wug",2,"s0020",392,"rime",6
"position","thite and dex",1,"s0020",392,"rime",7
"catch","press4",4,"s0020",392,"rime",8
"withheld","pawmo and dex",2,"s0020",392,"rime",9
"position","moke and pif",1,"s0020",392,"rime",10
"cross","calo and wug",4,"s0020",392,"rime",11
"cross","pawmo and pif",1,"s0020",392,"rime",12
"withheld","zaygee and wug",1,"s0020",392,"rime",13
"familiar","calo and pif",1,"s0020",392,"rime",14
"catch","press5",5,"s0020",392,"rime",15
"cross","zaygee and jeev",3,"s0020",392,"rime",16
"withheld","tetchee and pif",2,"s0020",392,"rime",17
"familiar","marfo and thite",4,"s0020",392,"rime",18
"position","bus and truck",1,"s0021",56,"3/3",1
"withheld","dog and moke",4,"s0021",56,"3/3",2
"familiar","hamster and thite",4,"s0021",56,"3/3",3
"familiar","dog and wug",5,"s0021",56,"3/3",4
"position","thite and pif",5,"s0021",56,"3/3",5
"cross","dog and dex",5,"s0021",56,"3/3",6
"withheld","truck and wug",4,"s0021",56,"3/3",7
"withheld","car and dex",2,"s0021",56,"3/3",8
"withheld","cat and pif",4,"s0021",56,"3/3",9
"cross","car and moke",5,"s0021",56,"3/3",10
"familiar","bus and jiv",5,"s0021",56,"3/3",11
"position","hamster and cat",4,"s0021",56,"3/3",12
"position","jiv and wug",5,"s0021",56,"3/3",13
"familiar","cat and dex",5,"s0021",56,"3/3",14
"cross","truck and pif",4,"s0021",56,"3/3",15
"cross","cat and wug",5,"s0021",56,"3/3",16
"cross","dog and moke",5,"s0022",392,"1/3",1
"familiar","chuv and dex",4,"s0022",392,"1/3",2
"familiar","bim and moke",4,"s0022",392,"1/3",3
"withheld","vap and pif",2,"s0022",392,"1/3",4
"withheld","dog and thite",1,"s0022",392,"1/3",5
"withheld","bus and moke",5,"s0022",392,"1/3",6
"position","lup and bim",1,"s0022",392,"1/3",7
"cross","vap and wug",4,"s0022",392,"1/3",8
"familiar","dog and pif",2,"s0022",392,"1/3",9
"position","chuv and vap",1,"s0022",392,"1/3",10
"cross","bim and pif",2,"s0022",392,"1/3",11
"familiar","lup and jiv",4,"s0022",392,"1/3",12
"withheld","bim and wug",2,"s0022",392,"1/3",13
"catch","press4",4,"s0022",392,"1/3",14
"position","jiv and wug",4,"s0022",392,"1/3",15
"cross","bus and thite",5,"s0022",392,"1/3",16
"catch","press5",5,"s0022",392,"1/3",17
"position","dex and pif",2,"s0022",392,"1/3",18
"familiar","pawmo and dex",5,"s0023",196,"rime",1
"position","wug and moke",4,"s0023",196,"rime",2
"position","pawmo and calo",3,"s0023",196,"rime",3
"withheld","kaisee and moke",2,"s0023",196,"rime",4
"withheld","calo and jeev",5,"s0023",196,"rime",5
"position","zaygee and kaisee",1,"s0023",196,"rime",6
"cross","calo and moke",4,"s0023",196,"rime",7
"catch","press5",5,"s0023",196,"rime",8
"position","dex and jeev",4,"s0023",196,"rime",9
"cross","tetchee and pif",3,"s0023",196,"rime",10
"cross","kaisee and jeev",4,"s0023",196,"rime",11
"familiar","calo and thite",2,"s0023",196,"rime",12
"familiar","zaygee and wug",5,"s0023",196,"rime",13
"cross","marfo and thite",3,"s0023",196,"rime",14
"catch","press4",4,"s0023",196,"rime",15
"withheld","marfo and pif",2,"s0023",196,"rime",16
"withheld","tetchee and thite",3,"s0023",196,"rime",17
"familiar","marfo and moke",4,"s0023",196,"rime",18
"familiar","lup and pif",5,"s0024",126,"0/3",1
"position","bim and feeb",5,"s0024",126,"0/3",2
"familiar","vap and wug",5,"s0024",126,"0/3",3
"withheld","zabe and thite",5,"s0024",126,"0/3",4
"catch","press5",5,"s0024",126,"0/3",5
"familiar","feeb and thite",5,"s0024",126,"0/3",6
"position","vap and chuv",5,"s0024",126,"0/3",7
"withheld","lup and jiv",3,"s0024",126,"0/3",8
"withheld","feeb and moke",5,"s0024",126,"0/3",9
"withheld","chuv and pif",5,"s0024",126,"0/3",10
"position","dex and moke",5,"s0024",126,"0/3",11
"cross","feeb and pif",4,"s0024",126,"0/3",12
"cross","zabe and jiv",3,"s0024",126,"0/3",13
"cross","chuv and moke",4,"s0024",126,"0/3",14
"familiar","bim and dex",3,"s0024",126,"0/3",15
"position","wug and pif",4,"s0024",126,"0/3",16
"catch","press4",4,"s0024",126,"0/3",17
"cross","lup and thite",4,"s0024",126,"0/3",18
"familiar","leash and thite",4,"s0025",126,"semantic.baseline",1
"withheld","glove and wug",2,"s0025",126,"semantic.baseline",2
"withheld","leash and pif",4,"s0025",126,"semantic.baseline",3
"position","rain and glove",1,"s0025",126,"semantic.baseline",4
"cross","ball and wug",5,"s0025",126,"semantic.baseline",5
"withheld","card and moke",4,"s0025",126,"semantic.baseline",6
"position","shelf and ball",1,"s0025",126,"semantic.baseline",7
"cross","leash and moke",4,"s0025",126,"semantic.baseline",8
"position","jiv and wug",1,"s0025",126,"semantic.baseline",9
"cross","glove and thite",5,"s0025",126,"semantic.baseline",10
"familiar","shelf and dex",4,"s0025",126,"semantic.baseline",11
"withheld","ball and thite",4,"s0025",126,"semantic.baseline",12
"familiar","rain and jiv",4,"s0025",126,"semantic.baseline",13
"catch","press5",5,"s0025",126,"semantic.baseline",14
"cross","card and pif",4,"s0025",126,"semantic.baseline",15
"familiar","glove and moke",5,"s0025",126,"semantic.baseline",16
"position","dex and thite",2,"s0025",126,"semantic.baseline",17
"catch","press4",4,"s0025",126,"semantic.baseline",18
"withheld","jic and jeev",4,"s0026",392,"syllables",1
"position","coomo and kaisey",4,"s0026",392,"syllables",2
"cross","jic and moke",2,"s0026",392,"syllables",3
"cross","fengle and thite",3,"s0026",392,"syllables",4
"cross","kaisey and jeev",5,"s0026",392,"syllables",5
"familiar","gope and pif",3,"s0026",392,"syllables",6
"position","pif and jeev",2,"s0026",392,"syllables",7
"withheld","skeege and thite",4,"s0026",392,"syllables",8
"catch","press5",5,"s0026",392,"syllables",9
"withheld","fengle and wug",4,"s0026",392,"syllables",10
"withheld","kaisey and moke",5,"s0026",392,"syllables",11
"catch","press4",4,"s0026",392,"syllables",12
"familiar","fengle and jeev",5,"s0026",392,"syllables",13
"cross","skeege and wug",3,"s0026",392,"syllables",14
"position","dex and moke",1,"s0026",392,"syllables",15
"familiar","coomo and dex",3,"s0026",392,"syllables",16
"position","gope and jic",1,"s0026",392,"syllables",17
"familiar","kaisey and thite",3,"s0026",392,"syllables",18
"withheld","bim and pif",5,"s0027",56,"1/3",1
"familiar","hamster and jiv",5,"s0027",56,"1/3",2
"cross","bim and thite",5,"s0027",56,"1/3",3
"withheld","chuv and moke",5,"s0027",56,"1/3",4
"withheld","bus and thite",5,"s0027",56,"1/3",5
"position","hamster and bim",5,"s0027",56,"1/3",6
"catch","press5",5,"s0027",56,"1/3",7
"familiar","vap and wug",5,"s0027",56,"1/3",8
"withheld","feeb and dex",5,"s0027",56,"1/3",9
"familiar","bim and moke",5,"s0027",56,"1/3",10
"cross","chuv and dex",5,"s0027",56,"1/3",11
"familiar","feeb and thite",5,"s0027",56,"1/3",12
"position","jiv and pif",5,"s0027",56,"1/3",13
"position","wug and thite",5,"s0027",56,"1/3",14
"catch","press4",4,"s0027",56,"1/3",15
"cross","feeb and moke",5,"s0027",56,"1/3",16
"position","vap and bus",4,"s0027",56,"1/3",17
"cross","bus and pif",5,"s0027",56,"1/3",18
"withheld","dog and pif",5,"s0028",126,"2/3",1
"familiar","bim and wug",5,"s0028",126,"2/3",2
"position","zabe and bus",5,"s0028",126,"2/3",3
"catch","press4",4,"s0028",126,"2/3",4
"catch","press5",5,"s0028",126,"2/3",5
"cross","bus and pif",5,"s0028",126,"2/3",6
"cross","dog and wug",5,"s0028",126,"2/3",7
"cross","bim and thite",5,"s0028",126,"2/3",8
"withheld","bus and wug",5,"s0028",126,"2/3",9
"position","dex and pif",5,"s0028",126,"2/3",10
"familiar","zabe and jiv",5,"s0028",126,"2/3",11
"familiar","dog and thite",1,"s0028",126,"2/3",12
"cross","car and moke",5,"s0028",126,"2/3",13
"position","jiv and wug",5,"s0028",126,"2/3",14
"position","cat and dog",5,"s0028",126,"2/3",15
"withheld","bim and moke",5,"s0028",126,"2/3",16
"familiar","cat and dex",5,"s0028",126,"2/3",17
"withheld","car and thite",1,"s0028",126,"2/3",18
"cross","dog tezz moke",1,"s0029",196,"nonce.connective",1
"position","dex tezz thite",1,"s0029",196,"nonce.connective",2
"position","jeev tezz pif",1,"s0029",196,"nonce.connective",3
"cross","cat tezz thite",1,"s0029",196,"nonce.connective",4
"familiar","car tezz dex",5,"s0029",196,"nonce.connective",5
"familiar","dog tezz thite",1,"s0029",196,"nonce.connective",6
"cross","bus tezz pif",1,"s0029",196,"nonce.connective",7
